campaign_member_id,person_record_id,entity_type,campaign_id,campaign_name,campaign_type,member_status,is_responded,response_date,is_automated,is_active,scoring_person_id
CM000001,C00332,Contact,CAM0057,Event Campaign 057,Event,Attended,True,2026-05-23,False,True,C00332
CM000002,C00332,Contact,CAM0021,Advertisement Campaign 021,Advertisement,Sent,False,2023-09-08,False,True,C00332
CM000003,C00238,Contact,CAM0010,Content Syndication Campaign 010,Content Syndication,Clicked,True,2024-05-03,False,True,C00238
CM000004,C00238,Contact,CAM0026,Telemarketing Campaign 026,Telemarketing,Clicked,True,2024-01-09,False,True,C00238
CM000005,C00238,Contact,CAM0026,Telemarketing Campaign 026,Telemarketing,Clicked,True,2024-01-07,False,True,C00238
CM000006,C00238,Contact,CAM0023,Webinar Campaign 023,Webinar,Attended,True,2024-05-20,False,True,C00238
CM000007,C00238,Contact,CAM0030,Event Campaign 030,Event,Attended,True,2023-10-06,False,True,C00238
CM000008,L00059,Lead,CAM0056,Webinar Campaign 056,Webinar,No Show,True,2026-04-21,False,True,L00059
CM000009,L00059,Lead,CAM0013,Content Syndication Campaign 013,Content Syndication,Responded,True,2023-04-30,False,True,L00059
CM000010,L00059,Lead,CAM0026,Telemarketing Campaign 026,Telemarketing,Sent,False,2023-12-31,False,True,L00059
CM000011,C00170,Contact,CAM0060,Event Campaign 060,Event,Attended,True,2026-04-27,False,True,C00170
CM000012,C00170,Contact,CAM0044,Event Campaign 044,Event,No Show,True,2025-10-28,False,True,C00170
CM000013,C00170,Contact,CAM0036,Advertisement Campaign 036,Advertisement,Clicked,True,2024-10-04,False,True,C00170
CM000014,L00275,Lead,CAM0021,Advertisement Campaign 021,Advertisement,Clicked,True,2023-08-19,False,True,L00275
CM000015,L00279,Lead,CAM0009,Webinar Campaign 009,Webinar,Attended,True,2024-08-13,False,True,L00279
CM000016,L00279,Lead,CAM0050,Webinar Campaign 050,Webinar,No Show,True,2025-09-25,False,True,L00279
CM000017,C00017,Contact,CAM0060,Event Campaign 060,Event,No Show,True,2026-04-19,False,False,C00017
CM000018,C00151,Contact,CAM0059,Content Syndication Campaign 059,Content Syndication,Sent,False,2026-05-03,True,True,C00151
CM000019,C00151,Contact,CAM0060,Event Campaign 060,Event,Sent,False,2026-04-27,True,True,C00151
CM000020,C00151,Contact,CAM0058,Webinar Campaign 058,Webinar,Sent,False,2026-05-29,True,True,C00151
CM000021,C00151,Contact,CAM0056,Webinar Campaign 056,Webinar,No Show,True,2026-04-17,False,True,C00151
CM000022,C00151,Contact,CAM0059,Content Syndication Campaign 059,Content Syndication,Sent,False,2026-04-18,True,True,C00151
CM000023,C00151,Contact,CAM0058,Webinar Campaign 058,Webinar,Sent,False,2026-05-19,True,True,C00151
CM000024,C00151,Contact,CAM0059,Content Syndication Campaign 059,Content Syndication,Sent,False,2026-05-04,True,True,C00151
CM000025,C00151,Contact,CAM0031,Email Campaign 031,Email,Sent,False,2024-02-17,True,True,C00151
CM000026,C00151,Contact,CAM0050,Webinar Campaign 050,Webinar,Attended,True,2025-08-30,False,True,C00151
CM000027,C00151,Contact,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-11-20,True,True,C00151
CM000028,C00151,Contact,CAM0035,Event Campaign 035,Event,Sent,False,2025-01-17,True,True,C00151
CM000029,C00151,Contact,CAM0041,Email Campaign 041,Email,Sent,False,2025-04-28,True,True,C00151
CM000030,C00151,Contact,CAM0023,Webinar Campaign 023,Webinar,Sent,False,2024-04-26,True,True,C00151
CM000031,C00151,Contact,CAM0027,Advertisement Campaign 027,Advertisement,Sent,False,2024-03-25,True,True,C00151
CM000032,L00169,Lead,CAM0040,Webinar Campaign 040,Webinar,Sent,False,2023-11-30,True,False,L00169
CM000033,L00169,Lead,CAM0029,Webinar Campaign 029,Webinar,Sent,False,2024-02-12,True,True,L00169
CM000034,L00169,Lead,CAM0007,Advertisement Campaign 007,Advertisement,Sent,False,2023-12-03,True,True,L00169
CM000035,L00169,Lead,CAM0023,Webinar Campaign 023,Webinar,Sent,False,2024-05-13,True,True,L00169
CM000036,L00169,Lead,CAM0008,Email Campaign 008,Email,Sent,False,2023-05-01,True,True,L00169
CM000037,L00169,Lead,CAM0002,Telemarketing Campaign 002,Telemarketing,Sent,False,2023-03-07,True,True,L00169
CM000038,L00169,Lead,CAM0027,Advertisement Campaign 027,Advertisement,Sent,False,2024-04-19,True,True,L00169
CM000039,L00169,Lead,CAM0031,Email Campaign 031,Email,Sent,False,2024-02-27,True,True,L00169
CM000040,L00169,Lead,CAM0028,Telemarketing Campaign 028,Telemarketing,Sent,False,2024-11-30,False,True,L00169
CM000041,L00169,Lead,CAM0053,Email Campaign 053,Email,Sent,False,2025-05-25,True,True,L00169
CM000042,L00169,Lead,CAM0055,Advertisement Campaign 055,Advertisement,Sent,False,2025-10-06,False,True,L00169
CM000043,L00169,Lead,CAM0008,Email Campaign 008,Email,Sent,False,2023-05-01,True,True,L00169
CM000044,L00169,Lead,CAM0017,Content Syndication Campaign 017,Content Syndication,Sent,False,2023-11-21,True,True,L00169
CM000045,L00169,Lead,CAM0031,Email Campaign 031,Email,Sent,False,2024-02-11,True,True,L00169
CM000046,L00169,Lead,CAM0025,Event Campaign 025,Event,Attended,True,2023-03-04,False,True,L00169
CM000047,L00169,Lead,CAM0027,Advertisement Campaign 027,Advertisement,Sent,False,2024-04-18,True,True,L00169
CM000048,L00169,Lead,CAM0043,Webinar Campaign 043,Webinar,Registered,True,2025-10-27,False,True,L00169
CM000049,L00345,Lead,CAM0020,Event Campaign 020,Event,No Show,True,2023-12-29,False,True,C00099
CM000050,L00345,Lead,CAM0058,Webinar Campaign 058,Webinar,Sent,False,2026-05-19,True,True,C00099
CM000051,L00345,Lead,CAM0017,Content Syndication Campaign 017,Content Syndication,Clicked,True,2023-11-11,False,True,C00099
CM000052,L00345,Lead,CAM0017,Content Syndication Campaign 017,Content Syndication,Sent,False,2023-11-17,True,True,C00099
CM000053,L00345,Lead,CAM0017,Content Syndication Campaign 017,Content Syndication,Sent,False,2023-11-11,True,True,C00099
CM000054,L00345,Lead,CAM0016,Content Syndication Campaign 016,Content Syndication,Clicked,True,2023-09-17,False,True,C00099
CM000055,L00345,Lead,CAM0033,Advertisement Campaign 033,Advertisement,Sent,False,2023-03-10,True,True,C00099
CM000056,L00345,Lead,CAM0013,Content Syndication Campaign 013,Content Syndication,Sent,False,2023-05-02,True,True,C00099
CM000057,L00345,Lead,CAM0018,Content Syndication Campaign 018,Content Syndication,Clicked,True,2024-07-12,False,False,C00099
